time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T07:45:41.661148\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":1,\"user_id\":1002061123,\"credit\":3000000,\"bullet\":10,\"fishId\":4062,\"fish_type\":302,\"after\":980448289978,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=80000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T07:58:56.529635\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":304,\"special_gun\":905,\"cost\":0,\"prize\":54000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=85000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T08:19:29.621239\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":904,\"cost\":0,\"prize\":90000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=90000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T08:42:55.931003\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":201,\"special_gun\":0,\"cost\":300000000,\"prize\":300000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=95000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T08:55:10.578960\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":303,\"special_gun\":903,\"cost\":0,\"prize\":450000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=100000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T09:11:33.286153\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":202,\"special_gun\":904,\"cost\":0,\"prize\":108000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=105000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T09:37:12.513211\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":904,\"cost\":0,\"prize\":90000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=110000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T10:00:51.475012\",\"msg\":\"\",\"type\":\"sync\",\"user_id\":1002061070,\"origin\":1092683434683,\"credit\":75300000000,\"after\":1167983434683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=115000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T10:14:12.541986\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":303,\"special_gun\":903,\"cost\":0,\"prize\":2700000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=120000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-05T10:27:42.890356\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":201,\"special_gun\":0,\"cost\":1200000000,\"prize\":1500000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=125000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T02:23:37.899037\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":204,\"special_gun\":901,\"cost\":0,\"prize\":2400000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=130000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T02:41:57.259043\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":2,\"user_id\":1002061070,\"credit\":3000000,\"bullet\":1,\"fishId\":2573,\"fish_type\":103,\"after\":3744284434683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=135000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T02:53:02.661635\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":202,\"special_gun\":0,\"cost\":15000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=140000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T03:03:36.108423\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":0,\"cost\":1500000,\"prize\":4500000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=145000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T03:26:30.013703\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":204,\"special_gun\":904,\"cost\":0,\"prize\":2400000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=150000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T05:20:02.759988\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":304,\"special_gun\":0,\"cost\":6000000,\"prize\":108000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=155000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T05:34:19.269318\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":302,\"special_gun\":904,\"cost\":0,\"prize\":360000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=160000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T05:47:59.218358\",\"msg\":\"\",\"type\":\"countdown\",\"user_id\":1002061070,\"room_id\":3,\"drop\":\"ID:133  Item:904\",\"special_bullets\":{\"133\":904},\"special_gun_odds\":{\"1\":158,\"100\":253,\"105\":101,\"109\":82,\"112\":281,\"115\":150,\"117\":150,\"12\":64,\"122\":150,\"126\":280,\"128\":156,\"129\":140,\"130\":82,\"133\":308,\"18\":94,\"21\":111,\"25\":149,\"26\":150,\"28\":262,\"32\":325,\"33\":150,\"35\":87,\"37\":150,\"38\":250,\"39\":150,\"4\":277,\"40\":88,\"41\":342,\"42\":118,\"46\":150,\"48\":335,\"50\":150,\"53\":152,\"56\":303,\"58\":62,\"59\":280,\"62\":254,\"64\":156,\"67\":290,\"68\":310,\"7\":150,\"73\":150,\"77\":69,\"8\":150,\"83\":267,\"84\":330,\"89\":87,\"90\":127,\"92\":72,\"94\":59,\"95\":60,\"97\":316,\"98\":116},\"bulletodds\":{},\"mch\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=165000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:07:38.002996\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":101,\"special_gun\":0,\"cost\":1500000,\"prize\":3000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=170000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:20:29.534853\",\"msg\":\"\",\"type\":\"kill\",\"user_id\":1002061070,\"room_id\":1,\"bullet_id\":0,\"fishes\":{\"302\":1},\"drop\":null,\"special_gun_odds\":{},\"odds\":12,\"credit\":36000000,\"after\":4070106934683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=175000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T06:30:34.665232\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":303,\"special_gun\":905,\"cost\":0,\"prize\":450000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=180000)"
